player_name,n,room_class_main,room_class_main_n,shanten_bins,spearman_shanten_vs_thinking_s,spearman_shanten_vs_log1p_thinking_s,pearson_shanten_vs_log1p_thinking_s,thinking_median_s,thinking_mean_s,thinking_p90_s,median_s_slope_per_shanten,median_s_range_across_shanten,median_s_cv_across_shanten,near_ready_delta_s,n_by_shanten_json,median_s_by_shanten_json,p90_s_by_shanten_json,hanchan_count,hanchan_room_class_main,hanchan_room_class_main_n,table_affiliation,hanchan_room_class_counts_json
【TM】,159,特上卓,159,5,-0.0008014018406448634,-0.0008014018406448634,0.026253184458108147,2.0321510000000003,2.332070767295597,3.5614214000000013,0.15978254999999977,1.0330485,0.18112736933899196,0.12353449999999988,"{""0"": 22, ""1"": 48, ""2"": 45, ""3"": 37, ""4"": 7}","{""0"": 1.431, ""1"": 2.243, ""2"": 2.06, ""3"": 1.774, ""4"": 2.464}","{""0"": 3.203, ""1"": 4.243, ""2"": 3.445, ""3"": 3.251, ""4"": 2.891}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
優歩,156,特上卓,156,5,0.189092489795847,0.189092489795847,0.19046034686422447,2.4179455,2.7887559679487177,4.8827475,0.25803729999999986,1.7395335000000003,0.25869671897407903,0.040449499999999805,"{""0"": 18, ""1"": 49, ""2"": 49, ""3"": 33, ""4"": 7}","{""0"": 1.153, ""1"": 2.48, ""2"": 2.892, ""3"": 2.392, ""4"": 2.487}","{""0"": 2.082, ""1"": 4.596, ""2"": 5.437, ""3"": 4.917, ""4"": 3.098}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
MIRA,128,特上卓,128,5,0.11465748590376604,0.11465748590376604,0.04545332006709966,1.8489305,2.3071095078125,3.604931599999999,0.039173899999999935,1.5278739999999997,0.31065337309505314,0.8681749999999995,"{""0"": 20, ""1"": 55, ""2"": 36, ""3"": 13, ""4"": 4}","{""0"": 0.848, ""1"": 2.376, ""2"": 1.906, ""3"": 1.567, ""4"": 1.449}","{""0"": 1.541, ""1"": 5.515, ""2"": 2.684, ""3"": 2.748, ""4"": 1.541}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
ROKU,128,特上卓,128,5,-0.01993242114747407,-0.01993242114747407,0.05534661570765353,1.7409459999999999,1.9707803359375,3.1413036999999995,-0.011454450000000343,0.4798959999999999,0.11549328037853969,0.32867400000000013,"{""0"": 20, ""1"": 35, ""2"": 47, ""3"": 16, ""4"": 10}","{""0"": 1.449, ""1"": 1.9, ""2"": 1.929, ""3"": 1.602, ""4"": 1.54}","{""0"": 1.873, ""1"": 3.385, ""2"": 4.117, ""3"": 1.771, ""4"": 1.769}",2,特上卓,2,特上卓 (2/2半荘),"{""特上卓"": 2}"
革と皮,128,特上卓,128,5,0.2654750710605687,0.2654750710605687,0.18674070552648223,1.9022584999999999,2.2060204609375003,3.5852549999999996,0.11670454999999995,1.085064,0.21625407376605,0.31893424999999986,"{""0"": 24, ""1"": 40, ""2"": 37, ""3"": 22, ""4"": 5}","{""0"": 1.095, ""1"": 2.175, ""2"": 2.18, ""3"": 1.891, ""4"": 1.821}","{""0"": 1.532, ""1"": 5.154, ""2"": 3.811, ""3"": 3.119, ""4"": 2.418}",2,特上卓,2,特上卓 (2/2半荘),"{""特上卓"": 2}"
ごきげんよう！！,127,特上卓,127,5,0.3477249123310174,0.3477249123310174,0.3299255921471041,2.674689,3.2148343149606293,6.521484000000004,0.32177569999999966,2.9099795,0.3902566619711331,-0.12311199999999989,"{""0"": 22, ""1"": 37, ""2"": 46, ""3"": 13, ""4"": 9}","{""0"": 0.927, ""1"": 2.806, ""2"": 2.772, ""3"": 3.837, ""4"": 2.02}","{""0"": 2.258, ""1"": 7.305, ""2"": 6.016, ""3"": 7.807, ""4"": 4.975}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
狐千歳,127,特上卓,127,5,0.12869537666705844,0.12869537666705844,0.10609738122684038,1.745729,2.071588818897638,3.5247668,-0.0398097000000003,0.6391769999999999,0.16744754241501844,0.515542,"{""0"": 34, ""1"": 41, ""2"": 36, ""3"": 11, ""4"": 5}","{""0"": 1.375, ""1"": 2.011, ""2"": 1.981, ""3"": 1.619, ""4"": 1.372}","{""0"": 2.768, ""1"": 4.182, ""2"": 3.333, ""3"": 2.486, ""4"": 1.545}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
なかざわーるどう,126,特上卓,126,5,0.420887138024024,0.420887138024024,0.3486636189177529,2.1351575,2.8782252857142856,5.7975955,0.53544815,2.4009605,0.36970304171605656,-0.8327450000000001,"{""0"": 15, ""1"": 40, ""2"": 49, ""3"": 14, ""4"": 8}","{""0"": 0.752, ""1"": 2.04, ""2"": 2.242, ""3"": 2.593, ""4"": 3.153}","{""0"": 0.896, ""1"": 6.359, ""2"": 5.927, ""3"": 3.929, ""4"": 5.953}",2,特上卓,1,特上卓 (1/2半荘),"{""特上卓"": 1, ""鳳凰卓"": 1}"
風林火川,125,特上卓,125,5,-0.10725254359349445,-0.10725254359349445,-0.12436135885777976,2.4078180000000002,2.7206406159999994,4.0025166,-0.09046605000000034,0.5838645,0.08624537598292097,0.30195375,"{""0"": 18, ""1"": 32, ""2"": 46, ""3"": 22, ""4"": 7}","{""0"": 2.356, ""1"": 2.457, ""2"": 2.537, ""3"": 2.357, ""4"": 1.954}","{""0"": 4.67, ""1"": 3.695, ""2"": 4.286, ""3"": 2.698, ""4"": 3.066}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
kuroo,124,特上卓,124,5,-0.20945761496876428,-0.20945761496876428,-0.1576754712896799,2.560344,3.2843923145161296,5.491775700000001,-0.08837780000000006,4.347796,0.5537552994396184,3.0800564999999995,"{""0"": 7, ""1"": 17, ""2"": 49, ""3"": 41, ""4"": 10}","{""0"": 0.832, ""1"": 5.179, ""2"": 2.959, ""3"": 2.439, ""4"": 1.76}","{""0"": 3.321, ""1"": 8.852, ""2"": 5.338, ""3"": 4.309, ""4"": 3.188}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
